Customer_ID,Customer_First_Name,Customer_Last_name,Phone_Number,Email_Address
1201,Andrea,Cuomo,(301) 465-4765,andreacuomo@gmail.com
1202,Catherine,Young,(301) 874-7438,young.catherine@icloud.com
1203,Annie,Carter,(301) 674-6297,acarter34@gmail.com
1204,Adeline,Lee,(301) 487-4273,lee.adeline28@verizon.net
1205,Patrice,Smitt,(301) 578-6128,smittpatrice@icloud.com
1206,Emmanual,Cambridge,(240) 283-7591,emmanuel.cambridge@gmail.com
1207,Meredith,Grey,(240) 643-1827,m.grey@gmail.com
1208,Callie,Jacobs,(301) 527-7891,calliejacobs333@icloud.com
1306,Sibyl,Crist,(301) 674-6278,cristlovescats@icloud.com
1307,Ta,Lindley,(301) 487-4274,lindleydesigns@yahoo.com
1308,Hang,Lynn,(301) 578-6190,lynn.hang@gmail.com
1309,Madelyn,Held,(240) 283-7561,heldmadelyn@verizon.net
1310,Irene,Adamson,(240) 643-1837,airene@comcast.net
1311,Wayne,Sandoval,(301) 527-7819,sandovalcooks@hotmail.com
1500,Clark,Pittman,(202) 555-0310,pittman.clark@hotmail.com
1501,Edgar,Long,(202) 567-0491,elong123@hotmail.com
1502,Carl,Mullins,(202) 598-0116,mullinscarl@yahoo.com
1503,Sheila,Lee,(202) 895-0519,sheilalee3799@verizon.net
1504,Phyllis,Barker,(202) 765-0419,phybar@gmail.com
1505,Madeline,Abbott,(202) 321-0295,abbottmadeline.case@aol.com
1506,Antonia,Fields,(202) 074-2015,fields.toni@gmail.com
1507,Raquel,Ortiz,(202) 985-4265,rocky@yahoo.com
1600,Edward,Johnson,(240) 935-2410,edwardjohnson@gmail.com
1601,Ashley,Walker,(301) 920-2410,ashleywalker@gmail.com
1602,David,Tyson,(410) 935-1002,davidtyson@gmail.com
1603,Sonita,Westley,(310) 410-3301,sonitawestley@gmail.com
1604,Andre,Walisson,(240) 121-0101,andrewalisson@gmail.com
1605,Anette,Coroh,(301) 000-2087,anettecoroh@gmail.com
1606,Brian,Hamlin,(240) 302-0002,brianhamlin@gmail.com
1607,Glory,Hopkins,(447) 310-0201,gloryhopkins@gmail.com
